Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2:00 PM,2PP,PPR,PosRank,OvRank
1,Christian McCaffrey,SFO,RB,27,16,16,0,0,0,0,0,272,1459,5.36,14,83,67,564,8.42,7,3,2,21,,,391.3,1,1
2,CeeDee Lamb,DAL,WR,24,17,17,0,0,0,0,0,14,113,8.07,2,181,135,1749,12.96,12,3,2,14,1,,403.2,1,2
3,Josh Allen,BUF,QB,27,17,17,385,579,4306,29,18,111,524,4.72,15,0,0,0,,0,7,4,15,,3,392.6,1,3
4,Tyreek Hill,MIA,WR,29,16,16,0,0,0,0,0,6,15,2.5,0,171,119,1799,15.12,13,1,1,13,,,376.4,2,4
5,Jalen Hurts,PHI,QB,25,17,17,352,538,3858,23,15,157,605,3.85,15,0,0,0,,0,9,5,15,,,356.8,2,5
6,Raheem Mostert,MIA,RB,31,15,15,0,0,0,0,0,209,1012,4.84,18,32,25,175,7,3,4,1,21,,,267.7,2,6
7,Amon-Ra St. Brown,DET,WR,24,16,16,0,0,0,0,0,4,24,6,0,164,119,1515,12.73,10,1,1,10,,,330.9,3,7
8,Dak Prescott,DAL,QB,30,17,17,410,590,4516,36,9,55,242,4.4,2,0,0,0,,0,4,2,2,,2,342.8,3,8
9,Mike Evans,TAM,WR,30,17,17,0,0,0,0,0,0,0,,0,136,79,1255,15.89,13,0,0,13,,,282.5,4,9
10,Lamar Jackson,BAL,QB,26,16,16,307,457,3678,24,7,148,821,5.55,5,0,0,0,,0,11,6,5,,1,331.2,4,10
11,Sam LaPorta,DET,TE,22,17,14,0,0,0,0,0,1,4,4,0,120,86,889,10.34,10,0,0,10,2,,239.3,1,11
12,Travis Etienne,JAX,RB,24,17,17,0,0,0,0,0,267,1008,3.78,11,73,58,476,8.21,1,0,0,12,2,,282.4,3,12
13,Kyren Williams,LAR,RB,23,12,11,0,0,0,0,0,228,1144,5.02,12,48,32,206,6.44,3,3,2,15,1,,255,4,13
14,Puka Nacua,LAR,WR,22,17,17,0,0,0,0,0,12,89,7.42,0,160,105,1486,14.15,6,1,0,6,,,298.5,5,14
15,D.J. Moore,CHI,WR,26,17,17,0,0,0,0,0,4,21,5.25,1,136,96,1364,14.21,8,1,1,9,,,286.5,6,15
16,Derrick Henry,TEN,RB,29,17,17,2,3,14,2,0,280,1167,4.17,12,36,28,214,7.64,0,0,0,12,,,246.7,5,16
17,Joe Mixon,CIN,RB,27,17,17,0,0,0,0,0,257,1034,4.02,9,64,52,376,7.23,3,0,0,12,1,,267,6,17
18,Jordan Love,GNB,QB,25,17,17,372,579,4159,32,11,50,247,4.94,4,0,0,0,,0,9,3,4,,2,319.1,5,18
19,Breece Hall,NYJ,RB,22,17,16,0,0,0,0,0,223,994,4.46,5,95,76,591,7.78,4,2,0,9,1,,290.5,7,19
20,A.J. Brown,PHI,WR,26,17,17,0,0,0,0,0,0,0,,0,158,106,1456,13.74,7,2,2,7,,,289.6,8,20
21,Deebo Samuel,SFO,WR,27,15,15,0,1,0,0,0,37,225,6.08,5,89,60,892,14.87,7,1,0,12,,,243.7,7,21
22,George Kittle,SFO,TE,30,16,16,0,0,0,0,0,1,2,2,0,90,65,1020,15.69,6,0,0,6,,,203.2,2,22
23,Nico Collins,HOU,WR,24,15,10,0,0,0,0,0,1,7,7,0,109,80,1297,16.21,8,1,0,8,1,,260.4,9,23
24,Rachaad White,TAM,RB,24,17,17,0,0,0,0,0,272,990,3.64,6,70,64,549,8.58,3,3,2,9,,,267.9,8,24
25,Brandon Aiyuk,SFO,WR,25,16,16,0,0,0,0,0,0,0,,0,105,75,1342,17.89,7,1,1,7,,,249.2,10,25
26,Travis Kelce,KAN,TE,34,15,15,0,0,0,0,0,0,0,,0,121,93,984,10.58,5,1,1,5,,,219.4,3,26
27,Keenan Allen,LAC,WR,31,13,13,1,2,49,1,0,2,6,3,0,150,108,1243,11.51,7,2,1,7,,,278.9,11,27
28,T.J. Hockenson,MIN,TE,26,15,11,0,0,0,0,0,0,0,,0,127,95,960,10.11,5,1,1,5,,,219,4,28
29,Stefon Diggs,BUF,WR,30,17,17,0,0,0,0,0,1,5,5,0,160,107,1183,11.06,8,2,1,8,1,,273.8,12,29
30,David Njoku,CLE,TE,27,16,16,0,0,0,0,0,0,0,,0,123,81,882,10.89,6,2,2,6,,,201.2,5,30
31,Brock Purdy,SFO,QB,24,16,16,308,444,4280,31,11,39,144,3.69,2,0,0,0,,0,6,2,2,,,295.6,6,31
32,David Montgomery,DET,RB,26,14,14,0,0,0,0,0,219,1015,4.63,13,24,16,117,7.31,0,2,1,13,1,,207.2,9,32
33,Ja'Marr Chase,CIN,WR,23,16,16,1,1,-7,0,0,3,-6,-2,0,145,100,1216,12.16,7,1,0,7,,,262.7,13,33
34,Davante Adams,LVR,WR,31,17,17,0,0,0,0,0,0,0,,0,175,103,1144,11.11,8,0,0,8,,,265.4,14,34
35,Jahmyr Gibbs,DET,RB,21,15,3,0,0,0,0,0,182,945,5.19,10,71,52,316,6.08,1,2,1,11,,,242.1,10,35
36,Evan Engram,JAX,TE,29,17,15,0,0,0,0,0,0,0,,0,143,114,963,8.45,4,3,2,4,,,230.3,6,36
37,James Cook,BUF,RB,24,17,13,0,0,0,0,0,237,1122,4.73,2,54,44,445,10.11,4,4,2,6,,,232.7,11,37
38,Bijan Robinson,ATL,RB,21,17,16,0,0,0,0,0,214,976,4.56,4,86,58,487,8.4,4,4,3,8,,,246.3,12,38
39,D.K. Metcalf,SEA,WR,26,16,16,0,0,0,0,0,0,0,,0,119,66,1114,16.88,8,0,0,8,,,225.4,15,39
40,Jared Goff,DET,QB,29,17,17,407,605,4575,30,12,32,21,0.66,2,0,0,0,,0,6,4,2,,2,289.1,7,40
41,Taysom Hill,NOR,TE,33,16,7,6,11,83,1,0,81,401,4.95,4,40,33,291,8.82,2,1,1,6,,,143.5,7,41
42,Amari Cooper,CLE,WR,29,15,15,0,0,0,0,0,0,0,,0,128,72,1250,17.36,5,2,1,5,1,,227,16,42
43,Saquon Barkley,NYG,RB,26,14,14,0,0,0,0,0,247,962,3.89,6,60,41,280,6.83,4,2,2,10,1,,223.2,13,43
44,Calvin Ridley,JAX,WR,29,17,17,0,0,0,0,0,9,23,2.56,0,136,76,1016,13.37,8,1,0,8,1,,229.9,17,44
45,Jayden Reed,GNB,WR,23,16,13,0,0,0,0,0,11,119,10.82,2,94,64,793,12.39,8,2,0,10,1,,217.2,18,45
46,Cole Kmet,CHI,TE,24,17,17,0,0,0,0,0,3,2,0.67,0,90,73,719,9.85,6,1,0,6,,,181.1,8,46
47,Jordan Addison,MIN,WR,21,17,14,0,0,0,0,0,1,2,2,0,108,70,911,13.01,10,0,0,10,,,221.3,19,47
48,Jake Ferguson,DAL,TE,24,17,16,0,0,0,0,0,0,0,,0,102,71,761,10.72,5,0,0,5,,,177.1,9,48
49,DeAndre Hopkins,TEN,WR,31,17,16,0,1,0,0,0,2,9,4.5,0,137,75,1057,14.09,7,0,0,7,,,223.6,20,49
50,Patrick Mahomes,KAN,QB,28,16,16,401,597,4183,27,14,75,389,5.19,0,0,0,0,,0,5,3,0,,,280.2,8,50
51,Jakobi Meyers,LVR,WR,27,16,16,2,3,12,1,0,4,24,6,2,106,71,807,11.37,8,0,0,10,,,218.6,21,51
52,James Conner,ARI,RB,28,13,13,0,0,0,0,0,208,1040,5,7,33,27,165,6.11,2,0,0,9,,,201.5,15,52
53,Gus Edwards,BAL,RB,28,17,9,0,0,0,0,0,198,810,4.09,13,13,12,180,15,0,3,2,13,1,,187,14,53
54,DeVonta Smith,PHI,WR,25,16,16,0,0,0,0,0,0,0,,0,112,81,1066,13.16,7,1,1,7,,,227.6,22,54
55,George Pickens,PIT,WR,22,17,16,0,0,0,0,0,3,18,6,0,106,63,1140,18.1,5,3,0,5,,,208.8,23,55
56,Trey McBride,ARI,TE,24,17,12,0,0,0,0,0,0,0,,0,106,81,825,10.19,3,1,0,3,,,181.5,10,56
57,Chris Olave,NOR,WR,23,16,11,0,0,0,0,0,0,0,,0,138,87,1123,12.91,5,0,0,5,1,,231.3,24,57
58,C.J. Stroud,HOU,QB,22,15,15,319,499,4108,23,5,39,167,4.28,3,1,1,0,0,0,8,4,3,1,,276,9,58
59,Kenneth Walker III,SEA,RB,23,15,15,0,0,0,0,0,219,905,4.13,8,37,29,259,8.93,1,1,0,9,,,199.4,16,59
60,Baker Mayfield,TAM,QB,28,17,17,364,566,4044,28,10,62,163,2.63,1,0,0,0,,0,8,3,1,,2,274.1,10,60